run_id,projekt,ansatz,c1a_modellzeit_s,c1c_wallclock_s,c1c_minus_c1a_s,c4_blocker_eingriffe,c4_davon_harter_blocker,c4_davon_t1_zeitbudget,c4_davon_sonstige,c7_iterationen,c7_davon_step,c7_davon_router,c8_in_tok,c8_out_tok,c8_cache_creation_tok,c8_cache_read_tok,c8_kosten_usd,a2_streng_anzahl,kosten_je_a2_feature_usd,netz_externe_zugriffe,netz_fehlalarme_lokal
A-BMAD-1,A,bmad,22457.3,36550.0,14092.7,0,0,0,0,59,41,18,115946,2528691,8675790,239283960,155.9191,13,11.9938,1,0
A-BMAD-2,A,bmad,35623.9,56670.0,21046.1,2,1,1,0,101,67,34,208407,3864475,13982851,322806694,228.736,13,17.5951,0,0
A-BMAD-3,A,bmad,28381.3,36479.0,8097.7,0,0,0,0,77,54,23,180222,3208604,10882516,281826259,191.2087,13,14.7084,0,0
A-SOLO-1,A,solo,1680.3,1680.0,-0.3,0,0,0,0,2,2,0,4301,136572,292969,27808714,12.1539,13,0.9349,0,1
A-SOLO-2,A,solo,1047.4,1048.0,0.6,0,0,0,0,2,2,0,4199,91908,193483,14884400,7.0093,13,0.5392,0,0
A-SOLO-3,A,solo,1290.1,1290.0,-0.1,0,0,0,0,2,2,0,4269,111936,250265,18803967,8.8265,13,0.679,0,0
B-BMAD-1,B,bmad,21529.3,26624.0,5094.7,0,0,0,0,67,47,20,142730,2343328,8591297,209176681,144.5932,14,10.3281,0,0
B-BMAD-2,B,bmad,23683.0,40425.0,16742.0,0,0,0,0,71,48,23,149429,2721694,9794648,212273620,156.0866,8,19.5108,7,0
B-BMAD-3,B,bmad,21437.3,34226.0,12788.7,0,0,0,0,62,44,18,145412,2365419,8297001,204549735,141.4224,10,14.1422,0,0
B-SOLO-1,B,solo,1232.4,1232.0,-0.4,0,0,0,0,2,2,0,4548,109525,218414,17525953,8.216,13,0.632,0,0
B-SOLO-2,B,solo,1091.2,1092.0,0.8,0,0,0,0,2,2,0,4497,96384,203865,14276301,6.9565,13,0.5351,0,0
B-SOLO-3,B,solo,1461.4,1462.0,0.6,0,0,0,0,2,2,0,7122,118906,271396,26155362,11.271,13,0.867,0,0
